Selected,LoanNr_ChkDgt,Name,City,State,Zip,Bank,BankState,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,ChgOffDate,DisbursementDate,DisbursementGross,BalanceGross,MIS_Status,ChgOffPrinGr,GrAppv,SBA_Appv,New,RealEstate,Portion,Recession,daysterm,xx,Default
-0.5,-0.6294008569085905,SIMPLEX OFFICE SOLUTIONS,ANAHEIM,CA,0.08859946803632028,CALIFORNIA BANK & TRUST,CA,1.0862745098039215,-1.0192572214580469,-1.0,-0.26666666666666666,-0.3333333333333333,0.0,0.0,-0.5,0.0,-1.0,Y,N,0.0,-1.086013986013986,-0.2584153846153846,0.0,P I F,0.0,-0.11481481481481481,-0.11870637635215929,0.0,0.0,0.0,0.0,-0.26666666666666666,-0.772494696118807,0.0
0.5,-0.6293407402174744,DREAM HOME REALTY,TORRANCE,CA,-0.7537375034394204,CALIFORNIA BANK & TRUST,CA,-0.1,-0.9807427785419532,-1.0,-0.15555555555555556,-0.3333333333333333,0.0,0.0,-0.5,0.0,-1.0,Y,N,0.0,-0.46853146853146854,-0.2692307692307692,0.0,P I F,0.0,-0.11481481481481481,-0.11870637635215929,0.0,0.0,0.0,1.0,-0.15555555555555556,-0.40234618744540124,0.0
-0.5,-0.6292277231562481,"Winset, Inc. dba Bankers Hill",SAN DIEGO,CA,-0.16747684123635698,CALIFORNIA BANK & TRUST,CA,-0.1,-0.9408528198074277,-1.0,-0.26666666666666666,1.1666666666666667,0.0,0.0,-0.5,0.0,-1.0,Y,N,0.0,-1.0,-0.2692307692307692,0.0,P I F,0.0,-0.11481481481481481,-0.11870637635215929,0.0,0.0,0.0,0.0,-0.26666666666666666,-0.7417945838013229,0.0
0.5,-0.6291002785027517,Shiva Management,SAN DIEGO,CA,-0.16564248372007703,CALIFORNIA BANK & TRUST,CA,0.0,-0.5756533700137552,-0.5,-0.26666666666666666,0.5,0.0,0.0,-0.5,0.0,-1.0,Y,N,0.0,-0.6377622377622377,-0.19230769230769232,0.0,P I F,0.0,-0.040740740740740744,-0.07421373154250438,0.0,0.0,0.0,0.0,-0.26666666666666666,-0.6125046798951703,0.0
0.5,-0.6289894234522605,"GOLD CROWN HOME LOANS, INC",LOS ANGELES,CA,-0.4455654407043933,SBA - EDF ENFORCEMENT ACTION,CO,0.07647058823529412,0.1953232462173315,0.25,0.8666666666666667,10.333333333333334,0.0,1.5,15.75,0.0,0.0,0,N,0.0,0.17832167832167833,0.9346153846153846,0.0,P I F,0.0,1.0444444444444445,1.3406523734045215,0.0,1.0,1.4285714285714286,0.0,0.8666666666666667,1.206289779108948,0.0
0.5,-0.6289175254738617,Ronald Lee Roberts,SACRAMENTO,CA,1.2002201229019536,CALIFORNIA BANK & TRUST,CA,-0.1,-0.5110041265474553,-0.5,0.0,-0.3333333333333333,0.0,0.0,-0.5,0.0,-1.0,Y,N,0.0,-0.5755244755244755,-0.16990384615384616,0.0,P I F,0.0,-0.040740740740740744,-0.07421373154250438,0.0,0.0,0.0,0.0,0.0,-0.23087482840384374,0.0
-0.5,-0.6268084170325144,SUPERIOR BROKERS REALTY,HUNTINGTON PARK,CA,-0.8454553792534165,U.S. BANK NATIONAL ASSOCIATION,OH,-0.1,0.19601100412654746,0.25,1.0277777777777777,-0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0,N,339.0,0.14825174825174825,0.7596153846153846,0.0,CHGOFF,16.39128271469798,0.8759259259259259,0.8072967937487834,0.0,1.0,0.7142857142857143,0.0,1.0277777777777777,1.4127043554224386,1.0
-0.5,-0.626760324016271,LIBERTY REALTY CO,LONG BEACH,CA,-0.642575437952857,JPMORGAN CHASE BANK NATL ASSOC,NV,-0.1,0.19601100412654746,0.25,0.0,-0.3333333333333333,1.0,1.0,-0.25,0.0,1.0,Y,N,0.0,0.14825174825174825,-0.12674230769230768,0.0,P I F,0.0,-0.11481481481481481,-0.11870637635215929,1.0,0.0,0.0,0.0,0.0,0.027455384999376015,0.0
-0.5,-0.6258684434894397,"SOUTHLAND MGT., CO.",SANTA ANA,CA,0.05301293222048977,BANK OF AMERICA NATL ASSOC,NC,0.07647058823529412,-0.20907840440165062,-0.25,-0.34444444444444444,0.3333333333333333,0.0,0.0,-0.5,0.0,0.0,N,N,-113.0,-0.25524475524475526,-0.19230769230769232,0.0,CHGOFF,2.344047500580489,-0.040740740740740744,-0.07421373154250438,0.0,0.0,0.0,0.0,-0.34444444444444444,-0.5808061899413454,1.0
0.5,-0.6250172001558226,"AMR Appraisals, Inc.",SAN RAMON,CA,0.7423644868384848,BANK OF AMERICA NATL ASSOC,NC,0.00784313725490196,-0.20082530949105915,-0.25,0.0,0.16666666666666666,1.0,0.0,-0.5,0.0,0.0,Y,N,0.0,-0.23356643356643356,-0.3173076923076923,0.0,P I F,0.0,-0.18888888888888888,-0.1631990211618142,1.0,0.0,0.0,0.0,0.0,-0.10882316236116311,0.0
